epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
6,5399,,1.4698293209075928,,,,,
6,5449,,1.4126453399658203,,,,,
6,5499,,1.4610283374786377,,,,,
6,5549,,1.3991212844848633,,,,,
6,5599,,1.425593614578247,,,,,
6,5649,,1.4227418899536133,,,,,
6,5699,,1.414542555809021,,,,,
6,5749,,1.4067827463150024,,,,,
6,5799,,1.4292539358139038,,,,,
6,5849,,1.4513578414916992,,,,,
6,5899,,1.4421383142471313,,,,,
6,5949,,1.4050825834274292,,,,,
6,5970,,,0.6728103756904602,36.69541931152344,0.8859784603118896,1.4227919578552246,1.4227919578552246
6,5970,1.4236459732055664,,,,,,
7,5999,,1.4176294803619385,,,,,
7,6049,,1.441873550415039,,,,,
7,6099,,1.4466010332107544,,,,,
7,6149,,1.4178950786590576,,,,,
7,6199,,1.4585219621658325,,,,,
7,6249,,1.431178092956543,,,,,
7,6299,,1.4211987257003784,,,,,
7,6349,,1.4323055744171143,,,,,
7,6399,,1.4323761463165283,,,,,
7,6449,,1.4074087142944336,,,,,
7,6499,,1.4501760005950928,,,,,
7,6549,,1.4131462574005127,,,,,
7,6599,,1.4270859956741333,,,,,
7,6649,,1.4045822620391846,,,,,
7,6699,,1.3869950771331787,,,,,
7,6749,,1.4407012462615967,,,,,
7,6799,,1.4563744068145752,,,,,
7,6823,,,0.674927294254303,47.95543670654297,0.8888422846794128,1.4266505241394043,1.4266505241394043
7,6823,1.42262864112854,,,,,,
8,6849,,1.4380038976669312,,,,,
8,6899,,1.439101219177246,,,,,
8,6949,,1.4670206308364868,,,,,
8,6999,,1.4215775728225708,,,,,
8,7049,,1.3578599691390991,,,,,
8,7099,,1.4117645025253296,,,,,
8,7149,,1.4395182132720947,,,,,
8,7199,,1.4409297704696655,,,,,
8,7249,,1.4359915256500244,,,,,
8,7299,,1.4205875396728516,,,,,
8,7349,,1.4262222051620483,,,,,
8,7399,,1.441464900970459,,,,,
8,7449,,1.3853929042816162,,,,,
8,7499,,1.4090007543563843,,,,,
8,7549,,1.4359692335128784,,,,,
8,7599,,1.3848490715026855,,,,,
8,7649,,1.4068061113357544,,,,,
8,7676,,,0.6744122505187988,42.82648849487305,0.8893852829933167,1.4267672300338745,1.4267672300338745
8,7676,1.4217127561569214,,,,,,
9,7699,,1.3860900402069092,,,,,
9,7749,,1.4275479316711426,,,,,
9,7799,,1.4145257472991943,,,,,
9,7849,,1.4022117853164673,,,,,
9,7899,,1.4098103046417236,,,,,
9,7949,,1.3846064805984497,,,,,
9,7999,,1.4519193172454834,,,,,
9,8049,,1.4416909217834473,,,,,
