feature,mean_gain
feature_53__ewm50,0.0018336002989217132
feature_60__rstd30,0.00183133779995073
feature_08__lag500,0.0018288207343642713
feature_30__lag900,0.0018249346871709567
feature_68__ewm10,0.0017981974955966324
feature_07__ewm50,0.001789388958770301
feature_55__ewm50,0.0017823343219710807
feature_01__rmean7,0.0017733180812785172
responder_3_prev_tail_lag950,0.0017696504570663537
feature_01__rmean3,0.0017643980355399672
feature_47__rmean3,0.001764107868051697
feature_22__lag7744,0.0017609420347129976
feature_32__lag7744,0.0017599015978990334
responder_2_prev_tail_lag11,0.0017551532870019697
responder_1_close_roll14_std,0.0017494905129958865
feature_58__rmean30,0.0017487470132885397
feature_04__rmean3,0.0017449296930326656
feature_54__ewm50,0.0017378064152108823
feature_21__lag5808,0.0017312858430302037
responder_3_prevday_mean,0.001731190992646483
responder_3_prevday_std,0.0017177493159184199
feature_21__rstd30,0.001717159319250212
feature_26__diff50,0.0017171101903099475
feature_28__ret50,0.0017167834455158165
feature_47__rmean7,0.001716481766503554
responder_6_prev_tail_lag50,0.0017148363422419077
responder_4_prev_tail_lag967,0.0017116430124010915
feature_42__ewm50,0.0017083249439670788
feature_07__rstd30,0.0017069472943802434
responder_5_prevday_std,0.0017069271824557899
responder_8_prev_tail_lag6,0.001699639286804683
feature_68__ewm50,0.0016959714091603624
feature_21__lag6776,0.0016740821247796219
responder_7_prev_tail_lag950,0.0016669046242091964
feature_38__ewm50,0.0016562218468732883
feature_29__diff50,0.001650183909210064
feature_15__ewm50,0.0016366464010109769
feature_08__lag1936,0.0016351828058009492
feature_49,0.0016339728215242376
feature_05__diff50,0.0016315887129076656
feature_37__lag100,0.0016310134865781733
responder_2_prevday_std,0.0016279329506585789
feature_25__lag7744,0.0016087607386923003
feature_00__ewm50,0.001597652528298502
feature_56__rmean14,0.001596900283730718
feature_16__rstd30,0.0015950079488884863
feature_38__rmean30,0.0015881338238366732
responder_0_prev_tail_lag500,0.0015849161662368407
feature_49__rstd30,0.001573023411238005
feature_61__rstd30,0.0015623633450265804
responder_2_close_roll14_std,0.0015588599745898712
responder_8_prev_tail_lag500,0.0015579542714032704
feature_07__ewm5,0.0015550756452287072
feature_23__diff50,0.001550377217288063
responder_6_close_roll7_std,0.0015451554452822155
feature_22__lag1936,0.0015444776364466502
feature_68__ewm5,0.0015308795080743337
feature_05__rmean14,0.001530810654517151
feature_24__lag2904,0.0015299473629619743
feature_21__ret50,0.0015227254949078174
feature_68__rstd30,0.0015188135818423453
feature_30__lag1936,0.0015146054673439624
responder_2_prev_tail_lag100,0.0015131660044805156
feature_01__rmean14,0.0015128075593785974
feature_71__ewm50,0.0015105271062807973
feature_61__lag950,0.0015086162224916386
feature_24__diff50,0.0015035657562807218
feature_22__lag6776,0.0015033086080200012
feature_08__lag2904,0.0015021572723185415
feature_13__ewm50,0.0014987437996968327
feature_04__rstd30,0.001492680919715409
feature_28__diff50,0.001490290083060817
feature_07__rmean14,0.0014860897492318637
feature_22__lag2904,0.0014831642213758982
responder_1_prevday_mean,0.001475836444026084
responder_2_prev_tail_lag6,0.0014746127496075895
responder_0_prevday_std,0.0014740049293331305
feature_01__rmean30,0.001466616068171705
feature_61__lag100,0.001462211109762837
feature_61__lag500,0.001461598699482595
feature_23__lag968,0.0014555481608285866
feature_24__lag1936,0.0014519800691329822
responder_1_prev_tail_lag100,0.0014427589889932629
feature_32__ewm50,0.0014341655373198603
feature_40__ewm50,0.00142727290367146
responder_8_prev_tail_lag900,0.001426391180782327
feature_48__ewm50,0.001423844004271981
feature_07__ewm10,0.0014227505040857534
responder_4_prev_tail_lag100,0.0014185723178714062
responder_1_close_roll30_std,0.001407452770078512
feature_37__ewm50,0.0014037327724441204
responder_7_prev_tail_lag10,0.0013985630378936659
feature_76__rstd14,0.0013967532623624978
feature_56__ewm10,0.00139413735046929
feature_56__rmean30,0.0013941283116126572
feature_30__rz30,0.0013920287045624201
responder_1_prev_tail_d10,0.001391404878276074
feature_39__ewm50,0.0013905059531675143
responder_7_prev_tail_lag900,0.0013877748791031271
feature_56__ewm5,0.0013876122194173748
feature_46__rstd30,0.0013830347106801428
feature_71__rmean14,0.0013686646272543703
feature_26__rstd30,0.0013663336625986703
feature_26__ret50,0.0013586984405415635
feature_29__lag3872,0.0013480079909370323
feature_30__lag3872,0.001344261278821647
feature_44__ewm50,0.0013369514112967302
feature_06__rmean14,0.0013354178246415163
feature_24__lag6776,0.0013254036808084883
feature_22__rstd30,0.0013239993535268046
responder_6_prev_tail_lag100,0.0013238677059721519
responder_4_prev_tail_lag500,0.0013233110154411676
feature_24__lag3872,0.00132138179490589
feature_22__lag3872,0.0013208744663092899
responder_7_prev_tail_lag100,0.0013179223835733463
feature_38,0.001309591944758042
feature_45__rmean3,0.0013082638427476447
responder_7_same_t_prev1,0.001291227023271899
feature_30__ewm50,0.0012875509501850103
feature_24__lag5808,0.0012789287950645105
responder_0_prev_tail_lag6,0.0012727130947515087
feature_06__rz14,0.0012692705077089167
feature_58__rmean14,0.001268800644170178
feature_36__ewm10,0.0012682632465342608
feature_31__ret50,0.0012680562477270937
responder_5_prev_tail_lag950,0.0012546442571702856
responder_5_close_roll14_mean,0.0012458789398143138
feature_08__lag50,0.0012457250322413533
feature_29__ret50,0.0012427745157522017
feature_09,0.0012356375511143587
feature_42__rmean30,0.0012341700725584045
feature_71__rmean7,0.0012294645285312522
responder_5_prev_tail_lag31,0.0012163880203200114
feature_48__rstd14,0.0012156867480236113
feature_26__lag2904,0.0012107889589059303
responder_1_prev_tail_lag31,0.0012059520692628712
feature_60__rmean14,0.001204929166556226
responder_3_prev_tail_lag11,0.0012044537859500618
feature_40__rmean7,0.0012042496526882217
responder_7_prev_tail_lag50,0.0012032850366055872
feature_30__lag10,0.001201778861347116
feature_60__ewm10,0.0012008976621738238
feature_04__rmean30,0.0011998554911520584
feature_31__lag2904,0.001196529923502727
feature_22__lag968,0.001194449792238694
responder_1_prevday_std,0.001191743072024578
feature_18__rstd30,0.0011906944888632218
feature_05__lag100,0.0011869374741763263
feature_18__rmean30,0.0011813625674691685
feature_56__rmean3,0.0011802955757218142
feature_75__rstd3,0.0011795678729374518
feature_13__rmean14,0.0011789408082430266
feature_19__rmean30,0.0011765227934861437
feature_27__diff50,0.0011758692119001426
responder_6_prev_tail_lag900,0.0011757799617342492
feature_30__lag2904,0.0011741745094974074
feature_58__ewm5,0.00117246121652029
feature_20__ret50,0.0011713474459366627
feature_24__ret50,0.0011710490448078252
responder_2_prev_tail_lag950,0.0011662167590518408
feature_34__rstd30,0.0011569195273631702
responder_7_close_roll14_mean,0.0011533454077460167
feature_30__lag500,0.0011530188861329541
feature_12__rstd30,0.0011529817374921697
feature_22__lag100,0.0011486389542694363
feature_22__rz3,0.001146706935000383
responder_3_prev_tail_lag100,0.0011426751159630947
feature_38__lag500,0.0011418675140874462
responder_0_prev_tail_lag11,0.0011386908247391094
feature_71__rmean30,0.001135940882257387
feature_34__diff50,0.0011310834240020637
