feature,gain,split
responder_3_prev2day_close,4363.028991699219,10
feature_31__ret16,4358.625961303711,11
feature_38__lag968,4358.038970947266,8
feature_19__ewm64,4339.579010009766,7
responder_3_close_roll20_mean,4326.867034912109,8
feature_18__ewm968,4326.022018432617,10
feature_37__ewm100,4312.610992431641,9
feature_57__ewm968,4298.86198425293,8
feature_20__diff256,4298.848052978516,8
responder_1_prev_tail_lag5,4290.797027587891,9
responder_6_prev_tail_lag5,4280.600982666016,10
feature_05__rz100,4280.498016357422,9
feature_37__ewm16,4279.737060546875,9
responder_2_prev_tail_lag5,4278.047943115234,8
feature_59__ewm64,4276.60400390625,9
feature_28__ret16,4274.856994628906,8
responder_0_prev_tail_d1,4273.291961669922,9
feature_30__diff100,4220.902069091797,8
feature_58__diff100,4220.889984130859,9
feature_05__diff100,4214.168975830078,10
feature_29__rz256,4202.912017822266,9
feature_06__ewm968,4170.350006103516,11
feature_33__ewm968,4170.3179931640625,10
feature_23__ret256,4164.4210205078125,9
responder_7_prev_tail_lag5,4154.81103515625,9
feature_77__ewm968,4153.132995605469,7
feature_17__ewm16,4125.529937744141,7
feature_59__ewm968,4121.0889892578125,9
feature_42__ewm256,4104.124008178711,9
feature_53__ewm16,4103.268005371094,8
feature_49__ewm16,4100.311920166016,9
responder_2_close_roll20_mean,4092.8509826660156,6
feature_26__rz256,4085.4139862060547,10
feature_37__ewm256,4081.697998046875,9
feature_38__rz968,4055.2040405273438,7
responder_2_prev2day_close,4041.916046142578,8
responder_6_close_roll5_std,4020.7960205078125,9
feature_22__ewm968,4016.843017578125,8
feature_58__ewm16,4004.420928955078,9
feature_19__ewm100,3995.8810119628906,7
feature_60__ewm64,3988.375961303711,9
feature_30__diff968,3981.011016845703,7
responder_3_close_roll20_std,3975.024917602539,8
feature_39__ewm100,3973.821014404297,10
feature_21__ret256,3973.4620361328125,8
responder_6_prev_tail_lag3,3973.1920471191406,8
feature_50__rz968,3971.0469970703125,6
responder_5_prev2day_close,3968.9099731445312,9
feature_58__diff16,3968.6410217285156,7
feature_01__ewm16,3957.6109619140625,7
feature_26,3955.605941772461,8
responder_6_prev_tail_d2,3941.4640197753906,9
feature_52__ewm100,3939.5780029296875,7
responder_1_close_roll60_mean,3937.7579956054688,6
feature_20,3936.2310485839844,7
responder_1_close_roll20_mean,3921.491973876953,8
feature_02__ewm100,3915.2539672851562,6
feature_61__lag256,3913.718994140625,8
feature_16__ewm256,3902.0999755859375,6
feature_37__ewm64,3895.251007080078,8
feature_05__diff64,3882.635986328125,6
feature_24__ret100,3875.5860290527344,10
feature_57__ewm256,3856.6259765625,8
feature_05__ewm100,3838.6040802001953,10
feature_41__ewm256,3837.3009338378906,7
feature_51__ewm256,3826.3180541992188,8
feature_45__ewm64,3819.9849548339844,8
feature_45__ewm256,3813.678985595703,8
responder_7_close_roll5_mean,3795.8729705810547,8
feature_18__ewm64,3781.2779998779297,9
feature_04__ewm968,3772.894012451172,7
feature_05__diff16,3765.729034423828,7
responder_4_prev_tail_d1,3761.4109802246094,8
feature_31__ret100,3734.6410217285156,9
responder_7_close_roll5_std,3727.635940551758,9
responder_3_close_roll5_mean,3715.1100158691406,8
feature_28__ret100,3712.8720092773438,8
feature_07__ewm100,3711.792022705078,9
feature_20__ewm968,3705.0659790039062,8
responder_4_close_roll5_mean,3685.0069580078125,7
feature_05__diff968,3672.760009765625,9
feature_52__ewm256,3648.951934814453,7
feature_70__ewm968,3644.2050018310547,9
responder_0_close_roll20_mean,3637.270965576172,7
responder_3_close_roll60_mean,3628.709991455078,7
feature_24__lag256,3628.64599609375,7
feature_33__ewm100,3589.166000366211,8
feature_29__ret256,3583.073974609375,10
feature_49__ewm256,3580.940948486328,8
feature_36__ewm256,3568.251983642578,8
feature_54__ewm256,3565.6910705566406,7
feature_28__ret256,3553.0709838867188,9
feature_16__ewm100,3547.1200103759766,7
responder_7_prev_tail_d2,3537.3179626464844,7
feature_66__ewm64,3520.4200134277344,9
feature_27__ret256,3509.5150299072266,9
feature_66__ewm256,3505.1189575195312,9
responder_3_prev_tail_d1,3490.561019897461,8
feature_56__rz256,3483.1419982910156,7
feature_60__ewm256,3469.0460510253906,6
feature_29__diff100,3458.7250366210938,8
feature_03__ewm968,3452.154998779297,8
feature_01__ewm100,3451.8280334472656,8
feature_25__rz100,3445.343017578125,7
feature_27__rz256,3441.6289978027344,7
responder_5_prevday_close_minus_mean,3437.8719482421875,7
feature_17__ewm256,3428.79296875,7
responder_6_close_roll20_mean,3426.0160522460938,7
responder_8_close_roll20_mean,3420.095977783203,9
feature_30__lag256,3415.1600036621094,6
feature_35__ewm968,3414.6489868164062,7
feature_22__ret16,3408.405029296875,8
feature_26__ret256,3382.0160217285156,7
feature_21__ret100,3375.1260681152344,7
responder_5_overnight_gap,3369.6650390625,6
feature_56__diff64,3366.9540405273438,6
feature_22__diff256,3343.126983642578,8
feature_61__rz100,3340.6000061035156,7
feature_59__ewm256,3331.7139892578125,8
feature_07__rz100,3327.4970092773438,7
feature_29__ret100,3321.5449829101562,8
feature_69__rz968,3315.3470458984375,7
feature_40__ewm968,3300.509002685547,6
responder_5_prev_tail_lag2,3297.9729919433594,8
feature_27__rz64,3297.3519592285156,7
feature_61__ewm256,3285.9149780273438,9
feature_28__rz64,3283.7319946289062,6
feature_49__ewm968,3259.028045654297,6
feature_51,3251.89697265625,8
responder_0_close_roll60_mean,3225.822998046875,8
feature_49,3222.1429595947266,7
feature_21__rz256,3220.3519897460938,7
feature_03__ewm256,3212.6730346679688,6
responder_4_close_roll20_mean,3181.2449951171875,8
feature_30__rz16,3162.3199462890625,7
feature_56__diff256,3155.9480590820312,6
responder_8_prev_tail_d2,3149.4219360351562,6
responder_7_same_t_prev2,3133.8589782714844,7
feature_28__diff100,3116.592987060547,7
responder_6_close_roll60_mean,3115.798065185547,7
feature_71__ewm16,3113.259979248047,6
feature_33__diff256,3108.5220336914062,6
responder_4_overnight_gap,3102.011016845703,6
feature_31__lag64,3093.4459228515625,7
feature_24__lag1,3088.7220153808594,7
feature_20__ret16,3060.468978881836,8
feature_15__lag968,3020.8059997558594,8
feature_50__ewm64,3004.1759643554688,7
feature_20__diff100,2977.6109619140625,8
feature_02__ewm256,2965.9669647216797,6
feature_20__diff16,2961.0909881591797,7
feature_37__lag968,2955.3690185546875,6
responder_0_prev_tail_lag2,2955.2220764160156,6
feature_26__diff256,2951.8379821777344,8
feature_25__rz256,2949.062042236328,6
feature_46__ewm256,2936.486068725586,6
feature_49__ewm64,2930.352020263672,7
feature_14__diff256,2899.7049255371094,6
feature_47__ewm16,2874.5909729003906,6
feature_04__ewm100,2873.6189880371094,8
responder_8_prev_tail_lag3,2853.217987060547,7
feature_30__ewm968,2849.616973876953,7
feature_00__ewm256,2819.780059814453,7
responder_7_same_t_prev4,2808.0700073242188,7
feature_67__lag968,2802.0989379882812,6
feature_20__lag256,2797.22900390625,6
responder_2_prev_tail_d1,2792.9139556884766,6
feature_50__ewm256,2757.4029846191406,7
feature_58__lag1,2757.3390502929688,7
feature_28__lag100,2756.2100219726562,6
feature_22__rz64,2752.97607421875,6
feature_69__ewm968,2731.3289794921875,7
feature_72__ewm100,2729.605026245117,6
responder_5_prev_tail_lag3,2697.582000732422,6
feature_40__ewm16,2696.5880279541016,6
feature_21__diff16,2692.262969970703,6
feature_17__ewm100,2689.220962524414,6
feature_32__ewm968,2684.5950317382812,6
responder_3_prev_tail_lag2,2667.5430297851562,6
feature_38__diff100,2635.240997314453,6
feature_29,2634.6920318603516,6
feature_39__ewm968,2634.4619750976562,6
feature_01__diff100,2616.3309631347656,6
feature_21__rz100,2579.2860107421875,6
feature_20__diff64,2541.166046142578,6
feature_44__ewm256,2521.7119750976562,7
feature_44__ewm64,2521.156982421875,6
responder_1_same_t_last5_mean,2516.750015258789,6
feature_31__rz256,2516.738037109375,7
feature_27__diff100,2514.6590270996094,6
feature_31__rz64,2504.1110229492188,7
feature_58__diff968,2497.6399841308594,6
feature_06__ewm64,2435.6110229492188,6
feature_28__ewm100,2431.8180541992188,6
feature_33__ewm64,2429.2939453125,7
responder_2_close_roll5_mean,2409.123077392578,6
feature_20__rz64,2370.8200073242188,6
feature_40__ewm64,2367.886016845703,6
feature_08__diff968,2359.8189697265625,6
feature_04__ewm256,2328.8720092773438,6
feature_30__ret16,2315.5979766845703,6
responder_4_same_t_prev5,2278.928009033203,6
feature_02__ewm968,2272.4600219726562,6
feature_39__ewm256,2255.6090393066406,6
responder_2_overnight_gap,2228.3260192871094,6
feature_04__rz968,2065.2360076904297,6
feature_61__ewm100,2037.2070007324219,6
